,id,title,imdb_index,kind_id,production_year,imdb_id,phonetic_code,episode_of_id,season_nr,episode_nr,series_years,md5sum
id,0.999999643,0.5100376436848841,0.9981954396069698,0.7206848086714108,0.22188771317556644,0.9984067357187986,0.5385586163327631,0.9515908142936521,0.7589671294754804,0.8059803186087795,0.9839475595196561,0.002041801
title,0.5910233642825462,0.9999999996302759,0.48877462477696837,0.38881666286274763,0.14321835435753583,0.5825388500539096,0.9259050950432504,0.4063183656349679,0.557351085,0.5005335924569293,0.515813776,0.002178696
imdb_index,0.9981964006147818,0.5468419067666922,0.9999999959284287,0.9029870506887518,0.22005125998838035,0.999620368,0.5580791531823046,0.8379392055577317,0.7566352731469327,0.806989755,0.9756348980152098,0.001013848
kind_id,0.896388511,0.41511906191648074,0.813874777,0.9999999274358872,0.270276185,0.903073197,0.4608425664475175,0.9961933402036737,0.7269386812333896,0.7188684371878813,0.9690736128219273,0.001845919
production_year,0.2217462311264856,0.143126495,0.2200581522350917,0.2700008414209328,0.9999999931857385,0.25034580107825627,0.16382290876299496,0.1726250611444064,0.2067504930385607,0.2001808439279111,0.20771902614992718,0.001134334
imdb_id,0.9985692946409068,0.5835106726171774,0.9999747637674731,0.9034096803703743,0.22141479360969968,0.9999999996719245,0.5400255316159199,0.9454853670898986,0.7584092977105045,0.8059062308834533,0.9895996468892819,0.008774869
phonetic_dode,0.5384820329640323,0.92032696,0.5396439494083939,0.46057287777119654,0.1619087985071884,0.5406153229231504,0.9999999998580492,0.5033798897474101,0.36384274987721593,0.5264221624218616,0.5690283482384343,0.001114477
episode_of_id,0.9515005906626506,0.4120944989402192,0.9425810985006623,0.9965017889401121,0.17259990753324034,0.9456309835144031,0.5030106710611221,0.9999999994910488,0.7201981826267272,0.7064853729277218,0.960323544,0.001885531
season_nr,0.7581182227264558,0.5572207494272479,0.7590298947187613,0.7256380908260921,0.20674194905452106,0.7588020605550776,0.4770249678904038,0.720583262,0.9999999991576273,0.9970337402778697,0.7303352986804792,0.001257958
episode_nr,0.814153162,0.5005351812634332,0.8036303998411982,0.7189566214268666,0.20018789997985448,0.8057495954651078,0.5505039513220547,0.7065553793224293,0.9984402010978417,0.9999999887061249,0.7757199870384676,0.001087723
series_years,0.9847032662146541,0.5158493947247083,0.9831403854808178,0.9719274869113027,0.1875921855382466,0.9896442238518903,0.5674945142890503,0.9598930080852405,0.7305927127717402,0.7753207599029447,0.999999878,0.008197506
md5sum,0.002035984,0.002177396,0.001914885,0.001845365,0.001134746,0.002140309,0.001114993,0.001873535,0.001258004,0.001092295,0.001731177,0.999999999